epoch,split,label,hypo,hyper,katz,sat
39,train_pos,1,supermarket,commercial building,0.009999999776482582,0.6409452557563782
39,train_pos,1,hand tool,tool,0.009999999776482582,0.5020281672477722
39,train_pos,1,peach,fruit,0.009999999776482582,0.6433806419372559
39,train_pos,1,pike,fish,0.009999999776482582,0.6512392163276672
39,train_pos,1,nail gun,power tool,0.009999999776482582,0.6319922804832458
39,train_pos,1,workshop,industrial building,0.009999999776482582,0.6042888164520264
39,train_pos,1,noodles,grain product,0.009999999776482582,0.6114180684089661
39,train_pos,1,tortilla,grain product,0.009999999776482582,0.639064371585846
39,train_pos,1,store,commercial building,0.009999999776482582,0.6387938857078552
39,train_pos,1,flowering plant,plant,0.009999999776482582,0.5132818818092346
39,train_pos,1,fish,animal,0.009999999776482582,0.5379801988601685
39,train_pos,1,glider,aircraft,0.009999999776482582,0.5992799401283264
39,train_pos,1,aircraft,vehicle,0.009999999776482582,0.5094729661941528
39,train_pos,1,meat,food,0.009999999776482582,0.5423219203948975
39,train_pos,1,clothing,physical object,0.009999999776482582,0.544958770275116
39,train_pos,1,ferry,watercraft,0.009999999776482582,0.6001901030540466
39,train_pos,1,plant,physical object,0.009999999776482582,0.5376964211463928
39,train_pos,1,oak,tree,0.009999999776482582,0.6521743535995483
39,train_pos,1,saw,hand tool,0.009999999776482582,0.6455206871032715
39,train_pos,1,scarf,accessory,0.009999999776482582,0.5992820262908936
39,train_pos,1,salmon,fish,0.009999999776482582,0.629814624786377
39,train_pos,1,bacon,meat,0.009999999776482582,0.6605117917060852
39,train_pos,1,viola,string instrument,0.009999999776482582,0.6472391486167908
39,train_pos,1,road vehicle,vehicle,0.009999999776482582,0.5197457671165466
39,train_pos,1,mosquito,insect,0.009999999776482582,0.603617787361145
39,train_pos,1,trousers,lower body clothing,0.009999999776482582,0.6090309023857117
39,train_pos,1,moth,insect,0.009999999776482582,0.6199055910110474
39,train_pos,1,airplane,aircraft,0.009999999776482582,0.6187227368354797
39,train_pos,1,bat,mammal,0.009999999776482582,0.6231731176376343
39,train_pos,1,synagogue,religious building,0.009999999776482582,0.6339197158813477
39,train_pos,1,power plant,industrial building,0.009999999776482582,0.6191803216934204
39,train_pos,1,cereal,grain product,0.009999999776482582,0.6311951875686646
39,train_pos,1,lecture hall,educational building,0.009999999776482582,0.6034396886825562
39,train_pos,1,bassoon,woodwind,0.009999999776482582,0.6407387852668762
39,train_pos,1,sailboat,watercraft,0.009999999776482582,0.6057177186012268
39,train_pos,1,cap,headwear,0.009999999776482582,0.674571692943573
39,train_pos,1,cat,mammal,0.009999999776482582,0.6092800498008728
39,train_pos,1,bus,road vehicle,0.009999999776482582,0.6404925584793091
39,train_pos,1,wasp,insect,0.009999999776482582,0.635171115398407
39,train_pos,1,tulip,flowering plant,0.009999999776482582,0.6386640667915344
39,train_pos,1,helmet,headwear,0.009999999776482582,0.6920825839042664
39,train_pos,1,reptile,animal,0.009999999776482582,0.5166055560112
39,train_pos,1,seagull,bird,0.009999999776482582,0.6110658049583435
39,train_pos,1,rocket,spacecraft,0.009999999776482582,0.6314646005630493
39,train_pos,1,tram,rail vehicle,0.009999999776482582,0.5821345448493958
39,train_pos,1,sparrow,bird,0.009999999776482582,0.6306962966918945
39,train_pos,1,fern,plant,0.009999999776482582,0.5301718711853027
